query_number,query,intent_number,intent_text,threshold,cutoff_rank,cliff_found,cliff_percentage,universe_size,tool_reduction
1,Send an email to Tom,1,Send an email to Tom,2,1,True,4.395604395604396,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,3,1,True,4.395604395604396,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,4,1,True,4.395604395604396,122,0.9918032786885246
1,Send an email to Tom,1,Send an email to Tom,5,11,True,6.043956043956044,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,6,11,True,6.043956043956044,122,0.9098360655737705
1,Send an email to Tom,1,Send an email to Tom,7,122,False,,122,0.0
1,Send an email to Tom,1,Send an email to Tom,8,122,False,,122,0.0
1,Send an email to Tom,1,Send an email to Tom,9,122,False,,122,0.0
1,Send an email to Tom,1,Send an email to Tom,10,122,False,,122,0.0
1,Send an email to Tom,1,Send an email to Tom,12,122,False,,122,0.0
1,Send an email to Tom,1,Send an email to Tom,15,122,False,,122,0.0
1,Send an email to Tom,1,Send an email to Tom,20,122,False,,122,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,2,1,True,2.7027027027027026,122,0.9918032786885246
2,Reply to Tom's email,1,Reply to Tom 's email,3,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,4,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,5,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,6,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,7,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,8,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,9,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,10,2,True,10.81081081081081,122,0.9836065573770492
2,Reply to Tom's email,1,Reply to Tom 's email,12,122,False,,122,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,15,122,False,,122,0.0
2,Reply to Tom's email,1,Reply to Tom 's email,20,122,False,,122,0.0
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,2,1,True,11.258278145695364,122,0.9918032786885246
