query_number,query,intent_number,intent,peak_score,fixed_k,recursive_k,recursive_reason,recursive_gap_percent,recursive_boundary_tool,max_gap_k,max_gap_reason,max_gap_percent,max_gap_boundary_tool,policies_agree
1,Send an email to Tom,1,Send an email to Tom,0.7109375,4,11,first >= 6%,6.043956043956044,outlook_mail_management_search_outlook_mail,11,max-gap,6.043956043956044,outlook_mail_management_search_outlook_mail,True
2,Reply to Tom's email,1,Reply to Tom 's email,0.72265625,4,2,first >= 6%,10.81081081081081,outlook_mail_management_reply_to_email,2,max-gap,10.81081081081081,outlook_mail_management_reply_to_email,True
3,Search the web for the latest Nvidia news,1,Search the web for the latest Nvidia news,0.58984375,4,1,first >= 6%,11.258278145695364,web_search_tools_web_search,1,max-gap,11.258278145695364,web_search_tools_web_search,True
4,Create a Word document,1,Create a Word document,0.74609375,4,1,first >= 2%,3.664921465968586,office_word_mcp_server_api_create_word_document,1,max-gap,3.664921465968586,office_word_mcp_server_api_create_word_document,True
5,Get the current sprint work items,1,Get the current sprint work items,0.73828125,4,1,first >= 2%,3.1746031746031744,project_management_tools_list_work_items,12,max-gap,3.7037037037037033,project_management_tools_delete_work_item,False
6,Find the latest Nvidia news and email a summary to Tom,1,Find the latest Nvidia news,0.5625,4,2,first >= 4%,4.861111111111112,web_search_tools_web_search,2,max-gap,4.861111111111112,web_search_tools_web_search,True
6,Find the latest Nvidia news and email a summary to Tom,2,email a summary to Tom,0.69921875,4,11,first >= 4%,4.4692737430167595,outlook_mail_management_search_outlook_mail,11,max-gap,4.4692737430167595,outlook_mail_management_search_outlook_mail,True
7,Get the current sprint work items and create a Word report,1,Get the current sprint work items,0.73828125,4,1,first >= 2%,3.1746031746031744,project_management_tools_list_work_items,12,max-gap,3.7037037037037033,project_management_tools_delete_work_item,False
7,Get the current sprint work items and create a Word report,2,create a Word report,0.68359375,4,4,first >= 4%,4.571428571428571,office_word_mcp_server_api_add_paragraph,4,max-gap,4.571428571428571,office_word_mcp_server_api_add_paragraph,True
8,"Search for Nvidia news, create a report, and email it to Tom",1,Search for Nvidia news,0.58203125,4,2,first >= 6%,9.395973154362416,web_search_tools_web_search,2,max-gap,9.395973154362416,web_search_tools_web_search,True
8,"Search for Nvidia news, create a report, and email it to Tom",2,create a report,0.546875,4,15,fallback-cap,0.0,carrot_mcp_server_api_submit_leave_application,15,fallback-cap,0.0,carrot_mcp_server_api_submit_leave_application,True
8,"Search for Nvidia news, create a report, and email it to Tom",3,email it to Tom,0.7109375,4,11,first >= 6%,7.6923076923076925,outlook_mail_management_search_outlook_mail,11,max-gap,7.6923076923076925,outlook_mail_management_search_outlook_mail,True
9,Schedule a meeting with Tom,1,Schedule a meeting with Tom,0.55859375,4,1,first >= 2%,2.797202797202797,project_management_tools_create_sprint,4,max-gap,3.4965034965034967,carrot_mcp_server_api_log_hours_entry,False
10,Get my leave applications,1,Get my leave applications,0.8984375,4,1,first >= 6%,7.391304347826087,carrot_mcp_server_api_list_leave_application,4,max-gap,17.82608695652174,carrot_mcp_server_api_submit_leave_application,False
11,Submit a leave application,1,Submit a leave application,0.89453125,4,3,first >= 6%,8.73362445414847,carrot_mcp_server_api_update_leave_application,4,max-gap,22.707423580786028,carrot_mcp_server_api_list_leave_application,False
12,Find a GitHub repository,1,Find a GitHub repository,0.82421875,4,1,first >= 4%,4.739336492890995,github_mcp_server_search_repositories,1,max-gap,4.739336492890995,github_mcp_server_search_repositories,True
13,Get a file from SharePoint,1,Get a file from SharePoint,0.75390625,4,1,first >= 4%,4.66321243523316,sharepoint_tools_get_sharepoint_documents,1,max-gap,4.66321243523316,sharepoint_tools_get_sharepoint_documents,True
14,Run a query against the database,1,Run a query against the database,0.5625,4,2,first >= 6%,6.944444444444445,supabase_mcp_check_database_health,2,max-gap,6.944444444444445,supabase_mcp_check_database_health,True
15,Check the deployment status on Railway,1,Check the deployment status on Railway,0.80078125,4,10,first >= 4%,5.853658536585367,railway_tools_project_create,10,max-gap,5.853658536585367,railway_tools_project_create,True
