query_number,query,intent_number,intent,rank,tool_name,score,gap,gap_percent
1,Send an email to Tom,1,Send an email to Tom,1,gmail_tools_send_google_email,0.7109375,0.03125,4.395604395604396
1,Send an email to Tom,1,Send an email to Tom,2,outlook_mail_management_compose_email,0.6796875,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,3,outlook_mail_management_send_email,0.67578125,0.0234375,3.296703296703297
1,Send an email to Tom,1,Send an email to Tom,4,outlook_mail_management_reply_to_email,0.65234375,0.01171875,1.6483516483516485
1,Send an email to Tom,1,Send an email to Tom,5,gmail_tools_reply_google_email,0.640625,0.015625,2.197802197802198
1,Send an email to Tom,1,Send an email to Tom,6,gmail_tools_forward_google_email,0.625,0.015625,2.197802197802198
1,Send an email to Tom,1,Send an email to Tom,7,gmail_tools_get_google_emails,0.609375,0.0078125,1.098901098901099
1,Send an email to Tom,1,Send an email to Tom,8,gmail_tools_delete_google_email,0.6015625,0.01171875,1.6483516483516485
1,Send an email to Tom,1,Send an email to Tom,9,outlook_mail_management_forward_email,0.58984375,0.01171875,1.6483516483516485
1,Send an email to Tom,1,Send an email to Tom,10,outlook_mail_management_find_email_address,0.578125,0.015625,2.197802197802198
1,Send an email to Tom,1,Send an email to Tom,11,outlook_mail_management_search_outlook_mail,0.5625,0.04296875,6.043956043956044
1,Send an email to Tom,1,Send an email to Tom,12,outlook_mail_management_get_email_messages,0.51953125,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,13,office_word_mcp_server_api_add_picture,0.515625,0.01171875,1.6483516483516485
1,Send an email to Tom,1,Send an email to Tom,14,office_word_mcp_server_api_convert_to_pdf,0.50390625,0.005859375,0.8241758241758242
1,Send an email to Tom,1,Send an email to Tom,15,office_word_mcp_server_api_add_table,0.498046875,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,16,carrot_mcp_server_api_create_employee,0.494140625,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,17,sharepoint_tools_create_txt_file_in_sharepoint,0.490234375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,18,office_word_mcp_server_api_add_heading,0.490234375,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,19,office_word_mcp_server_api_add_paragraph,0.490234375,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,20,office_word_mcp_server_api_create_word_document,0.486328125,0.0078125,1.098901098901099
1,Send an email to Tom,1,Send an email to Tom,21,carrot_mcp_server_api_update_employee,0.478515625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,22,outlook_mail_management_delete_email_message,0.478515625,0.005859375,0.8241758241758242
1,Send an email to Tom,1,Send an email to Tom,23,office_word_mcp_server_api_add_page_break,0.47265625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,24,railway_tools_project_environments,0.47265625,0.005859375,0.8241758241758242
1,Send an email to Tom,1,Send an email to Tom,25,railway_tools_project_info,0.466796875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,26,office_word_mcp_server_api_search_replace,0.46484375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,27,project_management_tools_export_sprint_to_sharepoint,0.462890625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,28,office_word_mcp_server_api_find_text_in_document,0.462890625,0.013671875,1.9230769230769231
1,Send an email to Tom,1,Send an email to Tom,29,carrot_mcp_server_api_create_leave_application,0.44921875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,30,carrot_mcp_server_api_submit_leave_application,0.44921875,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,31,office_word_mcp_server_api_copy_document,0.44921875,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,32,railway_tools_project_list,0.4453125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,33,carrot_mcp_server_api_get_employee,0.4453125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,34,office_word_mcp_server_api_get_document_text,0.4453125,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,35,railway_tools_service_list,0.443359375,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,36,railway_tools_project_create,0.44140625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,37,carrot_mcp_server_api_list_employees,0.44140625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,38,office_word_mcp_server_api_get_document_outline,0.44140625,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,39,office_word_mcp_server_api_get_document_xml,0.44140625,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,40,office_word_mcp_server_api_get_paragraph_text_from_document,0.439453125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,41,office_word_mcp_server_api_delete_document,0.439453125,0.0,0.0
1,Send an email to Tom,1,Send an email to Tom,42,office_word_mcp_server_api_delete_paragraph,0.439453125,0.00390625,0.5494505494505495
1,Send an email to Tom,1,Send an email to Tom,43,office_word_mcp_server_api_get_document_info,0.435546875,0.001953125,0.27472527472527475
1,Send an email to Tom,1,Send an email to Tom,44,railway_tools_project_delete,0.43359375,0.001953125,0.27472527472527475
